"","Total_rooting","Fresh_rooting","Old_rooting","Freq_occurrence_wild_boar","Cover_herb","Cover_litter","Height_herbs"
"Total_rooting",NA,0.142444567476708,1.37667655053519e-14,0.104318014411187,0.525658118758618,0.178000140229775,0.0152256369693147
"Fresh_rooting",0.142444567476708,NA,0.473044438669854,0.556623178203969,0.995872463180297,0.875705974711892,0.737753803575715
"Old_rooting",1.37667655053519e-14,0.473044438669854,NA,0.0640319304360957,0.485698220950443,0.116800484448335,0.0137379452116484
"Freq_occurrence_wild_boar",0.104318014411187,0.556623178203969,0.0640319304360957,NA,0.914157322385461,0.911910642526752,0.139712788926189
"Cover_herb",0.525658118758618,0.995872463180297,0.485698220950443,0.914157322385461,NA,0.996008708113919,0.959576342492115
"Cover_litter",0.178000140229775,0.875705974711892,0.116800484448335,0.911910642526752,0.996008708113919,NA,0.0550133818726812
"Height_herbs",0.0152256369693147,0.737753803575715,0.0137379452116484,0.139712788926189,0.959576342492115,0.0550133818726812,NA
