"","Total_rooting","Fresh_rooting","Old_rooting","Freq_occurrence_wild_boar","Cover_herb","Cover_litter","Height_herbs"
"Total_rooting",1,0.368718238283456,0.954827780914737,0.36163080773438,0.136049142051125,-0.266427744902277,-0.530307728923668
"Fresh_rooting",0.368718238283456,1,0.188029361942405,-0.112620548887545,0.0868885276965171,0.110581838206752,0.157063819167556
"Old_rooting",0.954827780914737,0.188029361942405,1,0.426147102071968,0.256092502684471,-0.275022188286222,-0.493215166463434
"Freq_occurrence_wild_boar",0.36163080773438,-0.112620548887545,0.426147102071968,1,0.0767726926945005,-0.171129895233475,-0.334589625292946
"Cover_herb",0.136049142051125,0.0868885276965171,0.256092502684471,0.0767726926945005,1,0.125580384420178,-0.0287501658437923
"Cover_litter",-0.266427744902277,0.110581838206752,-0.275022188286222,-0.171129895233475,0.125580384420178,1,0.359329712617222
"Height_herbs",-0.530307728923668,0.157063819167556,-0.493215166463434,-0.334589625292946,-0.0287501658437923,0.359329712617222,1
