"","Total_rooting","Fresh_rooting","Old_rooting","Freq_occurrence_wild_boar","Cover_herb","Cover_litter","Height_herbs"
"Total_rooting",1,0.323112838439733,0.975291494273655,0.355624959498687,0.142954142068557,-0.297987535548127,-0.510381772524702
"Fresh_rooting",0.323112838439733,1,0.161392243918035,-0.132513431456098,-0.00117128912224924,0.0354040439431954,0.0757022180363554
"Old_rooting",0.975291494273655,0.161392243918035,1,0.401474090462208,0.156869026225903,-0.344152900874582,-0.517033533514839
"Freq_occurrence_wild_boar",0.355624959498687,-0.132513431456098,0.401474090462208,1,0.0244033869518164,0.0250444528439963,-0.325218420483218
"Cover_herb",0.142954142068557,-0.00117128912224924,0.156869026225903,0.0244033869518164,1,0.00113262600064239,-0.0114756826635406
"Cover_litter",-0.297987535548127,0.0354040439431954,-0.344152900874582,0.0250444528439963,0.00113262600064239,1,0.414653110051628
"Height_herbs",-0.510381772524702,0.0757022180363554,-0.517033533514839,-0.325218420483218,-0.0114756826635406,0.414653110051628,1
