"","Total_rooting","Fresh_rooting","Old_rooting","Freq_occurrence_wild_boar","Cover_herb","Cover_litter","Height_herbs"
"Total_rooting",NA,0.0912986713327173,5.29642996127677e-12,0.098187220304722,0.546045738283845,0.230712537274491,0.0111220415596704
"Fresh_rooting",0.0912986713327173,NA,0.402048798528127,0.617782626344173,0.700620717520025,0.624200569628346,0.485149827207499
"Old_rooting",5.29642996127677e-12,0.402048798528127,NA,0.0479749209734164,0.249988744456323,0.215446038192762,0.0196763090867107
"Freq_occurrence_wild_boar",0.098187220304722,0.617782626344173,0.0479749209734164,NA,0.734174316925526,0.446382097908359,0.128005118828395
"Cover_herb",0.546045738283845,0.700620717520025,0.249988744456323,0.734174316925526,NA,0.577627174456924,0.898936842661754
"Cover_litter",0.230712537274491,0.624200569628346,0.215446038192762,0.446382097908359,0.577627174456924,NA,0.100503984060052
"Height_herbs",0.0111220415596704,0.485149827207499,0.0196763090867107,0.128005118828395,0.898936842661754,0.100503984060052,NA
